dataset,n_trials,rep,tps_target,cm_00,cm_01,cm_02,cm_03,cm_10,cm_11,cm_12,cm_13,cm_20,cm_21,cm_22,cm_23,cm_30,cm_31,cm_32,cm_33,mdsdt_ok,mdsdt_secs,best_model,mdsdt_zx_0,mdsdt_zx_1,mdsdt_zx_2,mdsdt_zx_3,mdsdt_zy_0,mdsdt_zy_1,mdsdt_zy_2,mdsdt_zy_3,mdsdt_rho_0,mdsdt_rho_1,mdsdt_rho_2,mdsdt_rho_3,grtools_ok,grtools_secs,grtools_model,grtools_conv,grtools_zx_0,grtools_zx_1,grtools_zx_2,grtools_zx_3,grtools_zy_0,grtools_zy_1,grtools_zy_2,grtools_zy_3,grtools_rho_0,grtools_rho_1,grtools_rho_2,grtools_rho_3,grin_zx_0,grin_zx_1,grin_zx_2,grin_zx_3,grin_zy_0,grin_zy_1,grin_zy_2,grin_zy_3,grin_rho_0,grin_rho_1,grin_rho_2,grin_rho_3,grin_ok,python_mle_zx_0,python_mle_zx_1,python_mle_zx_2,python_mle_zx_3,python_mle_zy_0,python_mle_zy_1,python_mle_zy_2,python_mle_zy_3,python_mle_rho_0,python_mle_rho_1,python_mle_rho_2,python_mle_rho_3,python_mle_ok
silbert09b,48,2,12,11,1,0,0,0,10,1,1,2,2,8,0,0,0,1,11,True,0.0951347351074218,PS(A)_PS(B)_none,-0.8642599471596739,-0.8642599471596739,0.6867965980914482,0.6867965980914482,-0.8252704544833209,0.8771550167974539,-0.8252704544833209,0.8771550167974539,0.558547064819587,-0.6851444542050659,-0.6665030127340864,0.5056332174657296,True,11.217068910598757,"GRT-{1_RHO, PS, DS}",0,-1.3594916381995878,-1.3594916381995878,1.0086449815955556,1.0086449815955556,-1.3950674153687188,1.6975640747852758,-1.3950674153687188,1.6975640747852758,-1.0,-1.0,-1.0,-1.0,-2.0840370655059814,-1.0721017122268677,0.5742451548576355,2.083543062210083,-1.3063979148864746,1.5381942987442017,-1.2737847566604614,1.4213792085647583,-0.29164814949035645,-0.5199986100196838,-0.5248560309410095,-0.31456032395362854,True,-5.242188083217498,-0.9674174674337991,0.5244590899793562,5.177508537588665,-1.1504218784046745,1.3830749639735196,-1.1504218784046745,1.3830749639735196,-0.9999999979708146,-0.9999999979708146,-0.9999999979708146,-0.9999999979708146,True
silbert09b,48,3,12,10,0,2,0,2,5,2,3,4,2,6,0,0,1,0,11,True,0.1882617473602295,-_PS(B)_all,-0.6744897501960815,-0.1573106846101711,1.3079506867532367e-16,0.8871465590188764,-0.8871465590188763,0.6744897501960817,-0.8871465590188763,0.6744897501960817,0.0,0.0,0.0,0.0,False,9.817044496536257,"GRT-{PI, PS, DS}",52,-0.554763659071743,-0.554763659071743,0.5591838797190228,0.5591838797190228,-1.4054793951511253,0.9512121638638305,-1.4054793951511253,0.9512121638638305,0.0,0.0,0.0,0.0,-0.8943907022476196,-0.42524102330207825,0.3401736915111542,1.400406837463379,-2.1237218379974365,0.6090329885482788,-1.2017099857330322,1.9704443216323853,-0.10673355311155319,-0.20400945842266083,-0.27830711007118225,-0.15596695244312286,True,-0.9674211806034749,-0.21042839424792484,0.0,1.3829940307928559,-5.3064623484280915,0.43072729929545756,-0.967421566101701,5.309764672545635,0.0,0.0,0.0,0.0,True
silbert09b,48,4,12,7,1,4,0,0,9,2,1,2,1,8,1,0,0,0,12,True,0.0861537456512451,PS(A)_PS(B)_all,-0.4022500653217253,-0.4022500653217253,0.7764217611479276,0.7764217611479276,-0.7764217611479276,0.8871465590188763,-0.7764217611479276,0.8871465590188763,0.0,0.0,0.0,0.0,True,10.886438846588137,"GRT-{1_RHO, PS, DS}",0,-0.6513911558679092,-0.6513911558679092,1.15764364232873,1.15764364232873,-1.241072781775344,1.4257310810165058,-1.241072781775344,1.4257310810165058,-0.7357080171523688,-0.7357080171523688,-0.7357080171523688,-0.7357080171523688,-0.5405080318450928,-0.6346567869186401,0.7334111928939819,1.9664759635925293,-1.374617576599121,1.1769659519195557,-1.0695292949676514,1.983298659324646,-0.4754118323326111,-0.6210614442825317,-0.38511189818382263,-0.3145639896392822,True,-0.48112705078545104,-0.8503841573657338,0.7528693816610208,5.627593422872641,-1.116329969107635,1.4383776149055159,-1.116329969107635,1.4383776149055159,-0.7627796588496025,-0.7627796588496025,-0.7627796588496025,-0.7627796588496025,True
silbert09b,48,5,12,9,2,1,0,1,7,1,3,3,2,6,1,0,2,1,9,True,0.0771040916442871,PS(A)_PS(B)_all,-0.5791321622555562,-0.5791321622555562,0.4022500653217252,0.4022500653217252,-0.5791321622555561,0.7764217611479277,-0.5791321622555561,0.7764217611479277,0.0,0.0,0.0,0.0,True,9.564956903457642,"GRT-{PI, PS, DS}",0,-0.7990765381878062,-0.7990765381878062,0.5486165493175852,0.5486165493175852,-0.8095557061334195,1.1482595497973502,-0.8095557061334195,1.1482595497973502,0.0,0.0,0.0,0.0,-1.2283135652542114,-0.6098458766937256,0.3807384967803955,0.9220567345619202,-0.9061590433120728,1.1789392232894897,-0.7862389087677002,1.3159984350204468,-0.3036115765571594,-0.24320286512374878,-0.30120524764060974,-0.304935097694397,True,-1.382994127100638,-0.43072729929545744,0.2104283942479247,0.967421566101701,-0.8122178069873658,1.1503494369042107,-0.8122178069873658,1.1503494369042107,0.0,0.0,0.0,0.0,True
silbert09b,48,6,12,11,0,1,0,1,7,0,4,0,2,6,4,0,1,0,11,True,0.2068331241607666,PS(A)_-_all,-0.5791321622555563,-0.5791321622555563,0.7764217611479276,0.7764217611479276,-1.150349380376008,0.8871465590188764,5.551978175541082e-17,1.1503493803760083,0.0,0.0,0.0,0.0,False,10.960099697113035,"GRT-{PI, PS(A), DS}",52,-0.8140191905788854,-0.8140191905788854,1.1307013312198335,1.1307013312198335,-3.666328853398972,1.3856935550078102,0.0058585421920391,2.7860803963232303,0.0,0.0,0.0,0.0,-1.1420533657073975,-0.6794471740722656,1.2294585704803467,1.356839895248413,-2.1381804943084717,1.5557522773742676,-0.3767518699169159,2.095651149749756,-0.08493790030479431,0.09025049209594727,-0.31108272075653076,-0.03462646156549454,True,-0.8122396290223683,-0.8122396290223683,1.150419334438525,1.150419334438525,-5.654851380820113,1.382994127100638,5.33028837007357e-05,5.654840332973086,0.0,0.0,0.0,0.0,True
silbert09b,48,7,12,12,0,0,0,0,12,0,0,1,1,9,1,0,0,2,10,True,0.1120727062225341,PS(A)_PS(B)_all,-1.150349380376008,-1.150349380376008,0.8871465590188763,0.8871465590188763,-0.8871465590188762,0.8871465590188762,-0.8871465590188762,0.8871465590188762,0.0,0.0,0.0,0.0,False,11.239217281341553,"GRT-{PI, PS, DS}",52,-2.768728589839028,-2.768728589839028,1.4213997293138814,1.4213997293138814,-1.393047618877865,1.380934871753016,-1.393047618877865,1.380934871753016,0.0,0.0,0.0,0.0,-2.3242132663726807,-2.3430356979370117,1.149338960647583,2.045198440551758,-2.111704111099243,2.156522035598755,-1.05266535282135,1.0890353918075562,-0.046907905489206314,-0.05518341064453125,-0.19577962160110474,-0.08186188340187073,True,-8.375600487350058,-8.375600487350058,1.3829932158415177,1.3829932158415177,-6.448071051113868,6.448242261436597,-0.9674663738175997,0.9674105325947147,0.0,0.0,0.0,0.0,True
silbert09b,48,8,12,8,1,3,0,1,7,1,3,0,2,7,3,0,1,0,11,True,0.0904657840728759,PS(A)_PS(B)_all,-0.4022500653217253,-0.4022500653217253,0.7764217611479277,0.7764217611479277,-0.4887764111146698,0.8871465590188763,-0.4887764111146698,0.8871465590188763,0.0,0.0,0.0,0.0,True,8.593457698822021,"GRT-{PI, PS, DS}",0,-0.5607332235863531,-0.5607332235863531,1.143613577048583,1.143613577048583,-0.6800223684158052,1.3957069276979777,-0.6800223684158052,1.3957069276979777,0.0,0.0,0.0,0.0,-0.622835636138916,-0.5519906282424927,1.250563383102417,1.372645616531372,-1.3797515630722046,1.1201813220977783,-0.5150404572486877,2.082413673400879,-0.29658353328704834,-0.25245070457458496,-0.41809409856796265,-0.2149137556552887,True,-0.5455001759068293,-0.5455001759068293,1.1756215286436111,1.1756215286436111,-1.4183409966564837,0.9826870437308152,-0.2511378205188945,5.619793236628719,-0.6239650930289219,-0.6239650930289219,-0.6239650930289219,-0.6239650930289219,True
silbert09b,48,9,12,11,0,1,0,3,7,2,0,0,2,9,1,0,1,1,10,True,0.0893702507019043,PS(A)_PS(B)_none,-0.788409361968981,-0.788409361968981,0.8225351036242725,0.8225351036242725,-0.7760143451674861,0.4869170967408951,-0.7760143451674861,0.4869170967408951,0.5660323148417211,-0.5759365492297909,-0.7668279496186866,0.3425073150473274,False,10.194477558135986,"GRT-{1_RHO, PS, DS}",52,-1.3601052251004562,-1.3601052251004562,1.4082150461766132,1.4082150461766132,-1.1637904124824852,0.6991008729859787,-1.1637904124824852,0.6991008729859787,-1.0,-1.0,-1.0,-1.0,-1.2348469495773315,-1.1790342330932617,1.2633366584777832,1.3857535123825073,-2.055706262588501,0.4074566662311554,-0.8374024033546448,1.4097062349319458,-0.36793994903564453,-0.5122290849685669,-0.5890380144119263,-0.4018174707889557,True,-1.1503491667288746,-1.1503491667288746,1.150343885857941,1.150343885857941,-5.551612941351138,0.28584373287884546,-0.7977876761848923,1.4081257880305362,-0.9999999957283425,-0.9999999957283425,-0.9999999957283425,-0.9999999957283425,True
silbert09b,48,10,12,8,2,2,0,0,11,1,0,3,3,6,0,0,0,0,12,True,0.2341527938842773,-_PS(B)_none,-0.6744897501960818,-0.9578516038490714,0.0341887485645705,1.0875607687815907,-0.5791321622555563,1.0099901692495823,-0.5791321622555563,1.0099901692495823,6.445059418546264e-17,-0.8235575690142575,-0.6214663664643256,0.7170195417264249,False,10.736256122589111,"GRT-{1_RHO, PS, DS}",52,-1.350385569004166,-1.350385569004166,0.6464114687241613,0.6464114687241613,-1.0828363018138791,1.5986504192482536,-1.0828363018138791,1.5986504192482536,-1.0,-1.0,-1.0,-1.0,-1.1012730598449707,-1.408920168876648,0.28760412335395813,1.9120969772338867,-0.8882468938827515,1.6933561563491821,-0.9160388112068176,1.9501992464065552,-0.5314422845840454,-0.6403288245201111,-0.5149601697921753,-0.3692838251590729,True,-1.0013181674157694,-1.7268751700462521,0.06968521682708886,5.766538413182853,-0.8122260723511912,1.7352999450862143,-0.8122260723511912,1.7352999450862143,-1.0,-1.0,-1.0,-1.0,True
silbert12,800,1,200,194,6,0,0,4,142,1,53,3,0,192,5,0,31,1,168,True,0.1608548164367675,-_PS(B)_all,-2.333768574807138,-0.5992298680993449,1.9684210848744936,0.987230991990176,-1.7895305514424666,1.9684210848744936,-1.7895305514424666,1.9684210848744936,0.0,0.0,0.0,0.0,True,11.53509783744812,"GRT-{1_RHO, PS(B), DS}",0,-2.350943169689727,-0.6224158676661318,2.0643634593969047,1.0198760142321484,-1.928264703335216,2.419182979727891,-1.928264703335216,2.419182979727891,0.0218875115588377,0.0218875115588377,0.0218875115588377,0.0218875115588377,-2.3694138526916504,-0.7194375395774841,2.214860439300537,1.075486421585083,-1.8905926942825317,2.11959171295166,-1.9399230480194092,2.3678090572357178,0.033127155154943466,0.02038227766752243,0.10289046913385391,-0.08324411511421204,True,-5.94074903928034,-0.6128291511130037,2.170091520534996,1.0152166292377278,-1.918885327586168,2.1700601457675104,-1.918885327586168,2.1700601457675104,0.0,0.0,0.0,0.0,True
silbert12,800,2,200,190,7,3,0,4,156,2,38,3,0,195,2,0,32,1,167,True,0.0986878871917724,-_-_all,-1.9684210848744936,-0.8207920883323807,1.968421084874494,0.9674215661017012,-1.704780904889401,1.7598610279335336,-2.0619165008094624,2.1779230690821847,0.0,0.0,0.0,0.0,False,10.303993940353394,"GRT-{PI, PS(B), DS}",52,-2.0650271782880565,-0.85422878713315,2.109721594525898,1.0012309030051094,-2.038577079161385,2.078401011298742,-2.038577079161385,2.078401011298742,0.0,0.0,0.0,0.0,-2.2813267707824707,-0.8524683117866516,2.265251398086548,1.0273096561431885,-1.9243719577789307,1.962591528892517,-2.253896474838257,2.4644107818603516,-0.1539294272661209,-0.1299169957637787,-0.03004651516675949,-0.19039909541606903,True,-2.17009037758456,-0.8416212335729143,2.1700903775845606,0.994457883209753,-1.8119106729525973,1.880793608151251,-2.3263478740408408,2.575829303548901,0.0,0.0,0.0,0.0,True
silbert12,800,3,200,192,7,1,0,6,140,0,54,4,0,194,2,0,28,1,171,True,0.1033792495727539,-_-_all,-2.177923069082184,-0.5992298680993449,1.88950996033343,1.0491313979639716,-1.704780904889401,1.7598610279335336,-2.061916500809462,2.1779230690821847,0.0,0.0,0.0,0.0,False,10.45358419418335,"GRT-{PI, PS(B), DS}",52,-2.460537562929266,-0.6195850961949052,2.002363379186052,1.0624635882340958,-2.0136504658876206,2.1348204554056216,-2.0136504658876206,2.1348204554056216,0.0,0.0,0.0,0.0,-2.324880599975586,-0.7344768047332764,2.1292192935943604,1.1166725158691406,-1.9205710887908936,1.987007737159729,-2.275125741958618,2.4767796993255615,0.004948046058416367,0.22766338288784027,0.11533862352371216,-0.027886254712939262,True,-2.5758293035489004,-0.6128129910166272,2.053748910631823,1.0803193408149558,-1.8119106729525973,1.880793608151251,-2.3263478740408408,2.575829303548901,0.0,0.0,0.0,0.0,True
silbert12,800,4,200,188,11,1,0,6,153,0,41,1,0,196,3,0,29,0,171,True,0.0954480171203613,-_-_all,-2.1779230690821847,-0.8037028159514422,2.1779230690821847,1.0280600770829706,-1.5242311452517945,1.7598610279335336,-1.9684210848744936,2.333768574807138,0.0,0.0,0.0,0.0,False,11.278579473495483,"GRT-{PI, DS}",52,-2.23279168189323,-0.8285767653169593,2.329932109934888,1.0736878220952175,-1.701046013045154,1.8681879492531817,-2.351055243126324,4.349000390324998,0.0,0.0,0.0,0.0,-2.40640926361084,-0.9353965520858765,2.424736261367798,1.0854743719100952,-1.6659473180770874,2.0183205604553223,-2.1189963817596436,2.6354689598083496,0.03581646457314491,0.2599383294582367,0.12357065081596375,0.08439505845308304,True,-2.5758272298131235,-0.8238937628382267,2.57583142273915,1.058127774604173,-1.5982310700208693,1.880799896010522,-2.170090465147793,5.354978357392114,0.0,0.0,0.0,0.0,True
silbert12,800,5,200,191,8,1,0,2,145,2,51,1,0,193,6,0,25,2,173,True,0.0900409221649169,-_PS(B)_all,-2.177923069082184,-0.6139994566221941,2.1779230690821847,1.1153373577337862,-1.704780904889401,1.9684210848744936,-1.704780904889401,1.9684210848744936,0.0,0.0,0.0,0.0,False,10.948131799697876,"GRT-{PI, PS(B), DS}",52,-2.1304641760922656,-0.6558352250310118,2.502770532676814,1.1810979393613414,-1.8056619874643285,2.30933630166524,-1.8056619874643285,2.30933630166524,0.0,0.0,0.0,0.0,-2.3216705322265625,-0.7079081535339355,2.4125139713287354,1.1878255605697632,-1.8190640211105347,2.150693655014038,-1.8315080404281616,2.239607572555542,-0.09811300039291382,-0.16281729936599731,-0.04146698862314224,-0.19118358194828033,True,-2.5758293035489004,-0.6280060144375695,2.5758293813190822,1.1503493803760079,-1.8119107973884727,2.1700906130261504,-1.8119107973884727,2.1700906130261504,0.0,0.0,0.0,0.0,True
